rep	mult	verdict	prover	cert_type	qh	score	boardable	checker	n_caught	all
1RB---_0LC1RD_---1LD_1RB0LC	5	QH	rwlrank	wraprwl	T	1	N	wraprwl(QH,no-checker)	3	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT
1RB---_1LB1LC_1RD---_0LB0RD	1	QH	rwlrank	wraprwl	T	1	N	wraprwl(QH,no-checker)	5	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT;quietfar=wrapfar/qhT;quietctl=wrapctl/qhT
1RB---_1LC---_1RD0LC_1RD1RB	1	QH	rwlrank	wraprwl	T	1	N	wraprwl(QH,no-checker)	5	rwlrank=wraprwl/qhT;irules=irules/qhT;bouncer=bouncer/qhT;quietfar=wrapfar/qhT;quietctl=wrapctl/qhT
1RB---_1LC0RA_1RC0LD_0LC1RA	1	undecided	-	-	-	-	N	-	0	
1RB---_1LC0RB_0LC0RD_0LA1LA	2	undecided	-	-	-	-	N	-	0	
1RB---_1LC0RB_0LC0RD_1LA1LA	1	undecided	-	-	-	-	N	-	0	
1RB---_1LC0RB_1LB1LD_1RB---	1	QH	rwlrank	wraprwl	T	1	N	wraprwl(QH,no-checker)	4	rwlrank=wraprwl/qhT;irules=irules/qhT;quietfar=wrapfar/qhT;quietctl=wrapctl/qhT
1RB---_1LC0RB_1LD1LA_0LC0RC	1	undecided	-	-	-	-	N	-	0	
1RB---_1LC1RA_0RB0LD_1RC0LC	1	undecided	-	-	-	-	N	-	0	
1RB---_1LC1RA_0RB0LD_1RD0LC	1	undecided	-	-	-	-	N	-	0	
1RB---_1LC1RA_0RD0LC_1LC1RB	1	undecided	-	-	-	-	N	-	0	
1RB---_1LC1RB_1LA0LD_0RB1LD	1	neverQH	irules	irules	F	0	Y	irules(neverqh)	1	irules=irules/qhF
1RB---_1RC0LD_1LB1RA_0RA0LD	2	undecided	-	-	-	-	N	-	0	
1RB---_1RC0RD_1LD1RA_0RC0LD	1	undecided	-	-	-	-	N	-	0	
