rep	list	mult	mode	verdict	prover	cert_type	qh	score	boardable	checker	n_provers_caught	all_catches
1RB---_0LB0LC_0LD0RC_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_0LD1RC_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_0RD0LC_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_0RD1LC_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1LD0LD_1RD1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1LD0RD_1RC0LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1LD1RC_0RC0LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1LD1RC_0RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1RD0LD_1LC0RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1RD0RD_1LD1RC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1RD1LC_0LC0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1RD1LC_0LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1RD1LC_1RB0RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1RD1LC_1RB1LB	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0LC_1RD1LC_1RB1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_0LD0RC_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_0LD1RB_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_0LD1RC_1RC1LD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_0RD0LC_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_0RD1LC_1LC1RD	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
1RB---_0LB0RC_1LD0LD_1RD1LC	B	1	direct1	QH	ngram_quiet_all	wrapngram	T	1	Y	wrap(Wrap.v)	1	ngram_quiet_all=wrapngram/qhT
