machine	theorem	file	tier	n	t	contexts
0RB---_1LC1RB_0LD0LC_0RD1RA	nqh_0RBXXX_1LC1RB_0LD0LC_0RD1RA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	287
0RB---_1RC0LD_1RD0RA_1LB0LC	nqh_0RBXXX_1RC0LD_1RD0RA_1LB0LC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	200
0RB0LA_1LA1LC_0RD1LB_1RB1RD	nqh_0RB0LA_1LA1LC_0RD1LB_1RB1RD	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	56
0RB0LA_1LA1LC_0RD1LC_1RB1RD	nqh_0RB0LA_1LA1LC_0RD1LC_1RB1RD	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	51
0RB0LA_1RC1LA_0RD0RD_1LD1LB	nqh_0RB0LA_1RC1LA_0RD0RD_1LD1LB	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	172
0RB0LA_1RC1LA_1LA0RD_1LD1LB	nqh_0RB0LA_1RC1LA_1LA0RD_1LD1LB	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	184
0RB0LA_1RC1LA_1LC0RD_1LD1LB	nqh_0RB0LA_1RC1LA_1LC0RD_1LD1LB	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	188
0RB0LA_1RC1RB_0RD1LA_1LC1LD	nqh_0RB0LA_1RC1RB_0RD1LA_1LC1LD	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	171
0RB0LA_1RC1RB_1LA1LD_0RB1LD	nqh_0RB0LA_1RC1RB_1LA1LD_0RB1LD	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	55
0RB0LB_1LC0LD_1RD0RA_1LB0RC	nqh_0RB0LB_1LC0LD_1RD0RA_1LB0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	72
0RB0LB_1RC1LC_0RD1LA_1LD0LB	nqh_0RB0LB_1RC1LC_0RD1LA_1LD0LB	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	150
0RB0LB_1RC1RD_1LD0RB_1RA0LC	nqh_0RB0LB_1RC1RD_1LD0RB_1RA0LC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	63
0RB0LC_1LA1RB_0LD0LA_0RD1RA	nqh_0RB0LC_1LA1RB_0LD0LA_0RD1RA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	295
0RB0LC_1LA1RB_0LD0LC_0RD1RA	nqh_0RB0LC_1LA1RB_0LD0LC_0RD1RA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	292
0RB0LC_1LA1RB_0LD1LA_1RD1RA	nqh_0RB0LC_1LA1RB_0LD1LA_1RD1RA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	3	0	163
0RB0LC_1LC0LD_1RD0RA_1LB0RC	nqh_0RB0LC_1LC0LD_1RD0RA_1LB0RC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	66
0RB0LC_1LC1RA_1LA1LD_1RB1LB	nqh_0RB0LC_1LC1RA_1LA1LD_1RB1LB	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	382
0RB0LC_1LC1RB_0LD0LA_0RD1RA	nqh_0RB0LC_1LC1RB_0LD0LA_0RD1RA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	287
0RB0LC_1LC1RB_1LA0RD_1RC0LA	nqh_0RB0LC_1LC1RB_1LA0RD_1RC0LA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	96
0RB0LC_1LC1RB_1LA0RD_1RC1LC	nqh_0RB0LC_1LC1RB_1LA0RD_1RC1LC	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	2	0	83
0RB0LC_1RC0RD_1RD0RA_1LD0LA	nqh_0RB0LC_1RC0RD_1RD0RA_1LD0LA	theories/Machines/ListCStage/LCStage_00.v	R_NeverQH	4	0	336
